Name,Affiliation,Submitted,Accepted,Rejected,AvgScore,AvgAcceptedScore,FirstAuthorCount,LastAuthorCount
Hongyu Guo,National Research Council Canada,3,0,3,5.166666666666667,0.0,1,1
Angela Fan,Facebook,5,2,3,5.328,5.65,2,1
Thibaut Lavril,,2,0,2,5.75,0.0,0,0
Armand Joulin,Facebook,2,1,1,5.9,5.8,0,1
Sainbayar Sukhbaatar,Facebook,2,0,2,5.835,0.0,1,1
Fabrizio Pittorino,Bocconi University,1,1,0,6.0,6.0,1,0
Carlo Lucibello,Bocconi University,1,1,0,6.0,6.0,0,0
Christoph Feinauer,Bocconi University,1,1,0,6.0,6.0,0,0
Gabriele Perugini,Bocconi University,1,1,0,6.0,6.0,0,0
Carlo Baldassi,Bocconi University,1,1,0,6.0,6.0,0,0
Elizaveta Demyanenko,Bocconi University,1,1,0,6.0,6.0,0,0
Riccardo Zecchina,,1,1,0,6.0,6.0,0,1
Sanjay Kariyappa,Georgia Institute of Technology,1,1,0,6.0,6.0,1,0
Atul Prakash,University of Michigan,2,1,1,5.125,6.0,0,0
Moinuddin K Qureshi,Georgia Institute of Technology,1,1,0,6.0,6.0,0,1
Brennan Shacklett,Stanford University,1,1,0,5.8,5.8,1,0
Erik Wijmans,Georgia Institute of Technology,1,1,0,5.8,5.8,0,0
Aleksei Petrenko,University of Southern California,1,1,0,5.8,5.8,0,0
Manolis Savva,Simon Fraser University,1,1,0,5.8,5.8,0,0
Dhruv Batra,Virginia Polytechnic Institute and State University,1,1,0,5.8,5.8,0,0
Kayvon Fatahalian,Carnegie-Mellon University,1,1,0,5.8,5.8,0,1
Lantao Yu,"Computer Science Department, Stanford University",2,0,2,5.5649999999999995,0.0,0,0
Chirag Pabbaraju,"School of Computer Science, Carnegie Mellon University",1,1,0,5.8,5.8,1,0
Ezra Winston,"Machine Learning Department, School of Computer Science",1,1,0,5.8,5.8,0,0
Chenjia Bai,Harbin institute of technology,1,0,1,5.8,0.0,1,0
Lingxiao Wang,Northwestern University,1,0,1,5.8,0.0,0,0
Peng Liu,Harbin Institute of Technology,1,0,1,5.8,0.0,0,0
Jianye HAO,Tianjin University,8,0,8,5.04625,0.0,0,0
Yingnan Zhao,Harbin Institute of Technology,1,0,1,5.8,0.0,0,1
A F M Shahab Uddin,KyungHee University,1,1,0,5.8,5.8,1,0
Mst. Sirazam Monira,"Islamic University, Bangladesh",1,1,0,5.8,5.8,0,0
Wheemyung Shin,,1,1,0,5.8,5.8,0,0
TaeChoong Chung,,1,1,0,5.8,5.8,0,0
Sung-Ho Bae,Kyung Hee University,1,1,0,5.8,5.8,0,1
Ben Finkelshtein,"Technion, Technion",1,0,1,5.8,0.0,1,0
Chaim Baskin,"Technion, Technion",1,0,1,5.8,0.0,0,0
Evgenii Zheltonozhskii,Technion,1,0,1,5.8,0.0,0,0
Uri Alon,Technion,2,1,1,5.699999999999999,5.6,1,1
Hadi Samer Jomaa,University of Hildesheim,1,0,1,5.8,0.0,1,0
Lars Schmidt-Thieme,University of Hildesheim,2,0,2,5.1,0.0,0,1
Pierre Stock,Facebook,1,1,0,5.8,5.8,0,0
Benjamin Graham,Facebook,1,1,0,5.8,5.8,0,0
Rémi Gribonval,,1,1,0,5.8,5.8,0,0
Herve Jegou,Facebook,2,1,1,5.15,5.8,0,1
Xi Gao,,1,0,1,5.8,0.0,1,0
Han Zhang,Virginia Commonwealth University,1,0,1,5.8,0.0,0,0
Aliakbar Panahi,Virginia Commonwealth University,1,0,1,5.8,0.0,0,0
Tom Arodz,Virginia Commonwealth University,1,0,1,5.8,0.0,0,1
Arturo Deza,Massachusetts Institute of Technology,1,0,1,5.8,0.0,1,0
Talia Konkle,Harvard University,1,0,1,5.8,0.0,0,1
Fuli Luo,Alibaba Group,1,0,1,5.8,0.0,1,0
Wei Wang,Alibaba Group,1,0,1,5.8,0.0,0,0
Jiahao Liu,Alibaba Group,1,0,1,5.8,0.0,0,0
Yijia Liu,Harbin Institute of Techonlogy,1,0,1,5.8,0.0,0,0
Bin Bi,"University of California, Los Angeles",1,0,1,5.8,0.0,0,0
Fei Huang,Alibaba Group,3,1,2,5.516666666666667,5.5,0,0
Luo Si,Alibaba Group,1,0,1,5.8,0.0,0,1
Andrew Szot,University of Southern California,1,0,1,5.8,0.0,1,0
Youngwoon Lee,University of Southern California,1,0,1,5.8,0.0,0,0
Shao-Hua Sun,University of Southern California,1,0,1,5.8,0.0,0,0
Joseph J Lim,University of Southern California,1,0,1,5.8,0.0,0,1
Tianshu Yu,Arizona State University,1,0,1,5.8,0.0,1,0
Runzhong Wang,Shanghai Jiao Tong University,1,0,1,5.8,0.0,0,0
Baoxin Li,Arizona State University,1,0,1,5.8,0.0,0,1
Naeemullah Khan,University of Oxford,1,0,1,5.8,0.0,1,0
Angira Sharma,University of Oxford,1,0,1,5.8,0.0,0,0
Ganesh Sundaramoorthi,KAUST,2,0,2,5.6,0.0,0,2
Aaron Klein,Amazon Berlin,1,0,1,5.8,0.0,1,0
Louis Chi-Chun Tiao,University of Sydney,1,0,1,5.8,0.0,0,0
Thibaut Lienart,,1,0,1,5.8,0.0,0,0
Cedric Archambeau,"Department of Computer Science, University College London",1,0,1,5.8,0.0,0,0
Matthias Seeger,Amazon Development Center Germany,1,0,1,5.8,0.0,0,1
Mingqi Yang,Dalian University of Technology,1,0,1,5.8,0.0,1,0
Yanming Shen,,1,0,1,5.8,0.0,0,0
Heng Qi,,1,0,1,5.8,0.0,0,0
Baocai Yin,,1,0,1,5.8,0.0,0,1
Guanglei Yang,University of Trento,1,0,1,5.75,0.0,1,0
Paolo Rota,"Università degli Studi di Genova, Istituto Italiano di Tecnologia",1,0,1,5.75,0.0,0,0
Xavier Alameda-Pineda,INRIA Grenoble,1,0,1,5.75,0.0,0,0
Dan Xu,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology",1,0,1,5.75,0.0,0,0
Mingli Ding,,1,0,1,5.75,0.0,0,0
Elisa Ricci,University of Trento,1,0,1,5.75,0.0,0,1
Panteha Naderian,,1,1,0,5.75,5.75,1,0
Gabriel Loaiza-Ganem,Columbia University,1,1,0,5.75,5.75,0,0
Harry J. Braviner,,1,1,0,5.75,5.75,0,0
Anthony L. Caterini,University of Oxford,1,1,0,5.75,5.75,0,0
Jesse C. Cresswell,Layer 6 AI,1,1,0,5.75,5.75,0,0
Tong Li,Layer6 AI,1,1,0,5.75,5.75,0,0
Lucio M. Dery,Carnegie Mellon University,1,1,0,5.75,5.75,1,0
Yann Dauphin,Google,4,2,2,5.5425,5.71,1,2
David Grangier,Google,1,1,0,5.75,5.75,0,1
Kevin Alexander Laube,University of Tuebingen,1,0,1,5.75,0.0,1,0
Andreas Zell,,2,0,2,4.75,0.0,0,2
Hancheng Min,Johns Hopkins University,1,0,1,5.75,0.0,1,0
Enrique Mallada,Johns Hopkins University,1,0,1,5.75,0.0,0,1
Che Zheng,,2,0,2,5.25,0.0,0,1
Kyunghwan Son,Korea Advanced Institute of Science and Technology,1,0,1,5.75,0.0,1,0
Roben D. Delos Reyes,Korea Advanced Institute of Science and Technology,1,0,1,5.75,0.0,0,0
Yung Yi,Korea Advanced Institute of Science and Technology,1,0,1,5.75,0.0,0,1
Sharan Vaswani,"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",1,0,1,5.75,0.0,1,0
Issam H. Laradji,McGill University,2,0,2,5.5,0.0,0,0
Frederik Kunstner,University of British Columbia,1,0,1,5.75,0.0,0,0
Si Yi Meng,University of British Columbia,1,0,1,5.75,0.0,0,0
Mark Schmidt,University of British Columbia,1,0,1,5.75,0.0,0,0
Simon Lacoste-Julien,University of Montreal,2,1,1,5.75,5.75,0,2
Qi Zhu,"University of Illinois, Urbana Champaign",1,0,1,5.75,0.0,1,0
Yidan Xu,"University of Washington, Seattle",1,0,1,5.75,0.0,0,0
Haonan Wang,"University of Illinois, Urbana Champaign",2,0,2,5.375,0.0,0,0
Chao Zhang,,1,0,1,5.75,0.0,0,0
Carl Yang,Emory University,2,0,2,5.375,0.0,1,1
Xianchao Wu,Microsoft,1,0,1,5.75,0.0,1,0
Geoffrey Roeder,"Department of Computer Science, Princeton University",1,0,1,5.75,0.0,1,0
Luke Metz,Google,5,0,5,5.465999999999999,0.0,2,0
Fatemeh Sheikholeslami,Bosch Center for AI,2,1,1,5.25,5.75,1,0
Ali Lotfi,"University of Texas, Austin",1,1,0,5.75,5.75,0,0
Ruize Wang,Fudan University,1,0,1,5.75,0.0,1,0
zhongyu wei,Fudan University,1,0,1,5.75,0.0,0,0
Xuanjing Huang,Fudan University,1,0,1,5.75,0.0,0,0
Jianshu Ji,,1,0,1,5.75,0.0,0,0
Guihong Cao,,1,0,1,5.75,0.0,0,0
Divyam Madaan,Korea Advanced Institute of Science and Technology,1,0,1,5.75,0.0,1,0
Kamal Gupta,"University of Maryland, College Park",1,0,1,5.75,0.0,1,0
Vijay Mahadevan,"University of California, San Diego",1,0,1,5.75,0.0,0,0
Justin Lazarow,"University of California, San Diego",1,0,1,5.75,0.0,0,0
Larry S. Davis,University of Maryland College Park,2,0,2,5.5,0.0,0,1
Rachel Luo,Stanford University,1,0,1,5.75,0.0,1,0
Jonathan Kuck,,1,0,1,5.75,0.0,0,0
Silvio Savarese,Stanford University,2,1,1,5.75,5.75,0,1
Haiyan Zhao,University of Technology Sydney,1,0,1,5.75,0.0,1,0
Oleh Rybkin,University of Pennsylvania,2,0,2,5.71,0.0,2,0
Chuning Zhu,University of Pennsylvania,1,0,1,5.75,0.0,0,0
Anusha Nagabandi,University of California Berkeley,1,0,1,5.75,0.0,0,0
Kostas Daniilidis,University of Pennsylvania,2,0,2,5.71,0.0,0,0
Unnat Jain,"University of Illinois, Urbana Champaign",2,0,2,5.375,0.0,0,0
Jordi Salvador,Universitat Politècnica de Catalunya,1,0,1,5.75,0.0,0,0
Svetlana Lazebnik,University of Illinois at Urbana-Champaign,1,0,1,5.75,0.0,0,0
Guanghui Lan,Georgia Institute of Technology,1,0,1,5.75,0.0,0,1
Xinyang Geng,University of California Berkeley,3,0,3,5.5,0.0,0,0
Yogesh Balaji,"Department of Computer Science, University of Maryland, College Park",2,1,1,5.0,5.75,1,0
Mohammadmahdi Sajedi,University of Southern California,1,1,0,5.75,5.75,0,0
Neha Mukund Kalibhat,"University of Maryland, College Park",1,1,0,5.75,5.75,0,0
Dominik Stöger,University of Southern California,1,1,0,5.75,5.75,0,0
Mahdi Soltanolkotabi,University of Southern California,2,1,1,5.575,5.75,0,1
Adam Stooke,University of California Berkeley,1,0,1,5.75,0.0,1,0
Michael Laskin,University of California Berkeley,1,0,1,5.75,0.0,0,1
Justin Jude,University of Edinburgh,1,0,1,5.75,0.0,1,0
Matthias Hennig,,1,0,1,5.75,0.0,0,1
Hansen Wang,"Tsinghua University, Tsinghua University",2,1,1,5.75,5.75,1,0
Zefang Zong,"Tsinghua University, Tsinghua University",1,0,1,5.75,0.0,0,0
Tong Xia,"Tsinghua University, Tsinghua University",1,0,1,5.75,0.0,0,0
Shuyu Luo,,1,0,1,5.75,0.0,0,0
Meng Zheng,,1,0,1,5.75,0.0,0,0
Chizhou Liu,Peking University,1,0,1,5.75,0.0,1,0
Yunzhen Feng,Peking University,1,0,1,5.75,0.0,0,0
Ranran Wang,,1,0,1,5.75,0.0,0,0
Bin Dong,Peking University,1,0,1,5.75,0.0,0,1
Jiri Navratil,International Business Machines,1,0,1,5.75,0.0,1,0
Matthew Arnold,,1,0,1,5.75,0.0,0,0
Benjamin Elder,Massachusetts Institute of Technology,1,0,1,5.75,0.0,0,1
Avik Pal,IIT Kanpur,1,1,0,5.75,5.75,1,0
Jonah Philion,Toronto University,1,1,0,5.75,5.75,0,0
Zhuang QIAN,Xi'an Jiaotong-Liverpool University,1,0,1,5.75,0.0,1,0
Shufei Zhang,Xi'an Jiao-Tong Liverpool University,1,0,1,5.75,0.0,0,0
Kaizhu Huang,Xi'an Jiaotong-Liverpool University,1,0,1,5.75,0.0,0,0
Qiufeng Wang,Xi'an Jiaotong-Liverpool University,1,0,1,5.75,0.0,0,0
Rui Zhang,Xi'an Jiaotong-Liverpool University,1,0,1,5.75,0.0,0,0
Xinping Yi,University of Liverpool,1,0,1,5.75,0.0,0,1
Neel Dey,New York University,1,1,0,5.75,5.75,1,0
Antong Chen,"MERCK & CO., INC.",1,1,0,5.75,5.75,0,0
Soheil Ghafurian,Merck & C,1,1,0,5.75,5.75,0,1
Ahmed Akakzia,"ISIR, UMR 7222",1,1,0,5.75,5.75,1,0
Cédric Colas,INRIA,2,1,1,4.54,5.75,1,0
Pierre-Yves Oudeyer,Inria,2,1,1,4.54,5.75,0,0
Mohamed CHETOUANI,"ISIR, UMR 7222",1,1,0,5.75,5.75,0,0
Olivier Sigaud,Sorbonne Université,3,1,2,5.11,5.75,0,3
Sung Min Park,Massachusetts Institute of Technology,1,0,1,5.75,0.0,1,0
Kuo-An Wei,,1,0,1,5.75,0.0,0,0
Roshan Rao,University of California Berkeley,1,1,0,5.75,5.75,1,0
Sergey Ovchinnikov,Harvard University,1,1,0,5.75,5.75,0,0
ali borji,HCL America,2,1,1,5.125,5.75,2,0
Yuji Roh,Korea Advanced Institute of Science and Technology,1,1,0,5.75,5.75,1,0
Kangwook Lee,"University of Wisconsin, Madison",1,1,0,5.75,5.75,0,0
Steven Euijong Whang,Korea Advanced Institute of Science and Technology,1,1,0,5.75,5.75,0,0
Changho Suh,Korea Advanced Institute of Science and Technology,1,1,0,5.75,5.75,0,1
Lujun Li,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",1,0,1,5.75,0.0,1,0
Yikai Wang,Tsinghua University,1,0,1,5.75,0.0,0,0
Anbang Yao,Intel,2,0,2,5.25,0.0,0,1
Yi Qian,Intel,1,0,1,5.75,0.0,0,0
Xiao Zhou,Intel,1,0,1,5.75,0.0,0,0
Ke He,Intel,1,0,1,5.75,0.0,0,1
Hsiang Hsu,Harvard University,1,1,0,5.75,5.75,0,0
Taebaek Hwang,,1,1,0,5.75,5.75,0,0
Flavio Calmon,Harvard University,1,1,0,5.75,5.75,0,0
Xuran Pan,"Tsinghua University, Tsinghua University",1,0,1,5.75,0.0,1,0
Chieh-Hsin Lai,"University of Minnesota, Minneapolis",1,0,1,5.75,0.0,1,0
Dongmian Zou,Duke Kunshan University,1,0,1,5.75,0.0,0,0
Gilad Lerman,"University of Minnesota, Minneapolis",1,0,1,5.75,0.0,0,1
Nir Ailon,"Technion, Technion",2,0,2,4.775,0.0,1,1
Omer Leibovitch,"Technion, Technion",2,0,2,4.775,0.0,1,0
Vineet Sreedharan Nair,"Computer Science Departmen, Technion-Israel Institute of Technology",1,0,1,5.75,0.0,0,1
Xingrui Yu,University of Technology Sydney,2,0,2,5.25,0.0,1,0
Yueming Lyu,University of Technology Sydney,2,0,2,5.25,0.0,1,0
Ying Wen,Shanghai Jiao Tong University,2,0,2,5.0,0.0,1,0
Hui Chen,,1,0,1,5.75,0.0,0,0
Yaodong Yang,University College London,2,0,2,5.075,0.0,0,0
Zheng Tian,University College London,1,0,1,5.75,0.0,0,0
Minne Li,University College London,2,0,2,5.0,0.0,1,0
Xu Chen,,1,0,1,5.75,0.0,0,0
Jun Wang,University College London,9,0,9,5.016666666666667,0.0,0,5
Md Amirul Islam,Ryerson University,2,1,1,5.5,5.75,2,0
Matthew Kowal,Ryerson University,2,1,1,5.5,5.75,0,0
Patrick Esser,Heidelberg University,1,1,0,5.75,5.75,0,0
Sen Jia,Ryerson University,2,1,1,5.5,5.75,0,0
Björn Ommer,Heidelberg University,1,1,0,5.75,5.75,0,0
Konstantinos G. Derpanis,Ryerson University,2,1,1,5.5,5.75,0,0
Neil Bruce,York University,2,1,1,5.5,5.75,0,2
Isha Garg,Purdue University,1,0,1,5.75,0.0,1,0
Sayeed Shafayet Chowdhury,Purdue University,1,0,1,5.75,0.0,0,0
Jake Grigsby,University of Virginia,1,0,1,5.75,0.0,1,0
Yanjun Jane Qi,University of Virginia Main Campus,1,0,1,5.75,0.0,0,1
Enrico Guiraud,,1,0,1,5.75,0.0,1,0
Jakob Drefs,Carl von Ossietzky Universität Oldenburg,1,0,1,5.75,0.0,0,0
Jorg Lucke,University of Oldenburg,1,0,1,5.75,0.0,0,1
Aryan Mobiny,University of Houston,1,0,1,5.75,0.0,1,0
Pietro Antonio Cicalese,,1,0,1,5.75,0.0,0,0
Hien Van Nguyen,University of Houston,1,0,1,5.75,0.0,0,1
Cristina Pinneri,"Max Planck Institute for Intelligent Systems, Max-Planck Institute",1,1,0,5.75,5.75,1,0
Shambhuraj Sawant,Delft University of Technology,1,1,0,5.75,5.75,0,0
Sebastian Blaes,"Max Planck Institute for Intelligent Systems, Max-Planck Institute",1,1,0,5.75,5.75,0,0
ANTONIO ORVIETO,Swiss Federal Institute of Technology,1,1,0,5.75,5.75,0,0
Luigi Gresele,"Max-Planck-Institute for Intelligent Systems, Max-Planck Institute",1,1,0,5.75,5.75,0,0
Aleksandr Ermolov,University of Trento,1,0,1,5.75,0.0,1,0
Aliaksandr Siarohin,Snap Inc.,1,0,1,5.75,0.0,0,0
Enver Sangineto,University of Trento,1,0,1,5.75,0.0,0,0
Nicu Sebe,University of Trento,2,0,2,5.375,0.0,0,2
Ning Kang,The University of Hong Kong,1,0,1,5.75,0.0,0,0
Omid Poursaeed,Cornell University,2,0,2,5.04,0.0,1,0
Tianxing Jiang,,1,0,1,5.75,0.0,0,0
Yordanos Abraham Goshu,Cornell University,1,0,1,5.75,0.0,0,0
Harry Yang,Facebook,1,0,1,5.75,0.0,0,0
Serge Belongie,Cornell University,1,0,1,5.75,0.0,0,0
Hanqing Zeng,University of Southern California,1,0,1,5.75,0.0,1,0
Muhan Zhang,Facebook,2,0,2,4.75,0.0,1,0
Yinglong Xia,University of Southern California,2,0,2,4.75,0.0,0,0
Ajitesh Srivastava,University of Southern California,1,0,1,5.75,0.0,0,0
Rajgopal Kannan,,1,0,1,5.75,0.0,0,0
Long Jin,Facebook,2,0,2,4.75,0.0,0,1
Andrey Malevich,,1,0,1,5.75,0.0,0,0
Ren Chen,,1,0,1,5.75,0.0,0,1
Yilun Du,Massachusetts Institute of Technology,4,1,3,5.375,5.75,3,0
Kevin A. Smith,Massachusetts Institute of Technology,1,1,0,5.75,5.75,0,0
Tomer Ullman,,3,1,2,5.5,5.75,0,1
Aojun Zhou,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",2,1,1,5.5,5.75,1,0
Yukun Ma,Northwestern University,1,1,0,5.75,5.75,0,0
Junnan Zhu,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",1,1,0,5.75,5.75,0,0
Jianbo Liu,The Chinese University of Hong Kong,1,1,0,5.75,5.75,0,0
Zhijie Zhang,"university  of tianjin of china, Tsinghua University",1,1,0,5.75,5.75,0,0
Kun Yuan,"Institute of automation, Chinese academy of science",2,1,1,5.5,5.75,1,0
Wenxiu Sun,SenseTime Group Limited,1,1,0,5.75,5.75,0,0
Hongsheng Li,The Chinese University of Hong Kong,1,1,0,5.75,5.75,0,1
Beren Millidge,University of Edinburgh,2,0,2,5.75,0.0,2,0
Alexander Tschantz,University of Sussex,2,0,2,5.75,0.0,0,0
Christopher Buckley,University of Sussex,2,0,2,5.75,0.0,0,2
Yuhta Takida,Sony Corporation,1,0,1,5.75,0.0,1,0
Wei-Hsiang Liao,Sony Corporation,1,0,1,5.75,0.0,0,0
Toshimitsu Uesaka,,1,0,1,5.75,0.0,0,0
Shusuke Takahashi,,1,0,1,5.75,0.0,0,0
Yuki Mitsufuji,Sony Corporation,1,0,1,5.75,0.0,0,1
Yu-Lin Tsai,TCFSH,1,0,1,5.75,0.0,1,0
Chia-Yi Hsu,National Chiao Tung University,1,0,1,5.75,0.0,0,0
Chia-Mu Yu,National Chiao Tung University,1,0,1,5.75,0.0,0,0
Mert Gurbuzbalaban,Rutgers University,1,0,1,5.75,0.0,1,0
Umut Simsekli,INRIA,1,0,1,5.75,0.0,0,0
Lingjiong Zhu,Florida State University,1,0,1,5.75,0.0,0,1
Hossein Hosseini,"Qualcomm Inc, QualComm",2,0,2,5.375,0.0,1,0
Hyunsin Park,QualComm,1,0,1,5.75,0.0,0,0
Sungrack Yun,Korea Advanced Institute of Science and Technology,1,0,1,5.75,0.0,0,0
Christos Louizos,"Qualcomm Inc, QualComm",3,0,3,5.083333333333333,0.0,1,0
Joseph Soriaga,,3,0,3,5.333333333333333,0.0,0,1
Max Welling,,1,0,1,5.75,0.0,0,1
Jörg K.H. Franke,Universität Freiburg,2,1,1,5.5,5.75,1,0
Gregor Koehler,German Cancer Research Center (DKFZ),2,1,1,5.125,5.75,0,0
André Biedenkapp,"University of Freiburg, Universität Freiburg",2,1,1,5.25,5.75,0,0
Robin Marc Schmidt,University of Tübingen,1,0,1,5.75,0.0,1,0
Frank Schneider,University of Tübingen,1,0,1,5.75,0.0,0,0
Tsung-Yen Yang,Princeton University,2,0,2,5.75,0.0,2,0
Justinian Rosca,,1,0,1,5.75,0.0,0,0
Peter Ramadge,Princeton University,2,0,2,5.75,0.0,0,1
Seungwon Lee,"Department of Computer and Information Science, School of Engineering and Applied Science",1,0,1,5.75,0.0,1,0
Sima Behpour,"CMU, Carnegie Mellon University",1,0,1,5.75,0.0,0,0
Haoran Wang,Fudan University,1,0,1,5.75,0.0,1,0
Weitang Liu,"University of California, San Diego",1,0,1,5.75,0.0,0,0
Alex Bocchieri,"University of Wisconsin, Madison",1,0,1,5.75,0.0,0,0
Rui Li,Northwestern Polytechnical University,1,0,1,5.75,0.0,1,0
Qing Mao,,1,0,1,5.75,0.0,0,0
Pei Wang,,1,0,1,5.75,0.0,0,0
Xiantuo He,,1,0,1,5.75,0.0,0,0
Yu Zhu,,1,0,1,5.75,0.0,0,0
Jinqiu Sun,,1,0,1,5.75,0.0,0,0
Yanning Zhang,,1,0,1,5.75,0.0,0,1
Depen Morwani,"Indian Institute of Technology Madras, Dhirubhai Ambani Institute Of Information and Communication Technology",1,0,1,5.75,0.0,1,0
Harish Guruprasad Ramaswamy,"Indian Institute of Technology Madras,",1,0,1,5.75,0.0,0,1
Heeseung Kwon,POSTECH,1,0,1,5.75,0.0,1,0
Manjin Kim,POSTECH,1,0,1,5.75,0.0,0,0
Suha Kwak,POSTECH,1,0,1,5.75,0.0,0,0
Minsu Cho,POSTECH,1,0,1,5.75,0.0,0,1
Santiago Gonzalez,"University of Texas, Austin",2,0,2,5.625,0.0,2,0
Tianchi Cai,Ant Group,1,0,1,5.75,0.0,1,0
Wenjie Shi,"Electronic Engineering, Tsinghua University, Tsinghua University",1,0,1,5.75,0.0,0,0
Lihong Gu,,1,0,1,5.75,0.0,0,0
Xiaodong Zeng,,1,0,1,5.75,0.0,0,0
Jinjie Gu,,2,0,2,5.0,0.0,0,1
Chengyue Gong,ut austin,1,0,1,5.75,0.0,1,0
Xingchao Liu,"University of Texas, Austin",1,0,1,5.75,0.0,0,0
Andrea Dittadi,Technical University of Denmark,1,1,0,5.75,5.75,1,0
Francesco Locatello,Swiss Federal Institute of Technology,2,1,1,5.54,5.75,0,0
Vaibhav Agrawal,Max-Planck Institute,1,1,0,5.75,5.75,0,0
Ole Winther,University of Copenhagen,1,1,0,5.75,5.75,0,0
Frederic Koehler,Massachusetts Institute of Technology,1,0,1,5.75,0.0,1,0
Viraj Mehta,Carnegie Mellon University,2,0,2,5.625,0.0,1,0
Daniel Glasner,Google,1,0,1,5.75,0.0,0,0
Srikumar Ramalingam,Google,2,0,2,5.0,0.0,0,0
Kishore Papineni,,1,0,1,5.75,0.0,0,0
Hongkang Li,Rensselaer Polytechnic Institute,1,0,1,5.75,0.0,1,0
Shuai Zhang,Rensselaer Polytechnic Institute,2,0,2,5.75,0.0,1,0
Ingmar Schubert,Technische Universität Berlin / Learning and Intelligent Systems Group,1,1,0,5.75,5.75,1,0
Ozgur S Oguz,Max-Planck Institute,1,1,0,5.75,5.75,0,0
Marc Toussaint,,1,1,0,5.75,5.75,0,1
Lihua Qian,Shanghai Jiao Tong University,1,0,1,5.75,0.0,1,0
Yu Bao,nanjing university,1,0,1,5.75,0.0,0,0
Mingxuan Wang,,1,0,1,5.75,0.0,0,0
Lin Qiu,,1,0,1,5.75,0.0,0,0
Mrigank Raman,"Indian Institute of Technology Delhi, Dhirubhai Ambani Institute Of Information and Communication Technology",1,1,0,5.75,5.75,1,0
PeiFeng Wang,University of Southern California,1,1,0,5.75,5.75,0,0
Siddhant Agarwal,"Indian Institute of Technology Kharagpur, Dhirubhai Ambani Institute Of Information and Communication Technology",2,1,1,5.25,5.75,0,0
Bo Li,Baidu,1,0,1,5.75,0.0,1,0
Qili Wang,jd,1,0,1,5.75,0.0,0,0
Gim Hee Lee,National University of Singapore,1,0,1,5.75,0.0,0,1
Kalesha Bullard,Facebook AI Research,1,0,1,5.75,0.0,1,0
Franziska Meier,Facebook,1,0,1,5.75,0.0,0,0
Jakob Nicolaus Foerster,Facebook AI Research,2,0,2,5.375,0.0,0,2
Benjamin Paassen,The University of Sydney,1,1,0,5.75,5.75,1,0
Daniele Grattarola,Università della Svizzera Italiana,1,1,0,5.75,5.75,0,0
Daniele Zambon,Università della Svizzera Italiana,1,1,0,5.75,5.75,0,0
Cesare Alippi,,1,1,0,5.75,5.75,0,0
Barbara Eva Hammer,Bielefeld University,1,1,0,5.75,5.75,0,1
Avital Shafran,Hebrew University of Jerusalem,1,0,1,5.75,0.0,1,0
Shmuel Peleg,Hebrew University of Jerusalem,1,0,1,5.75,0.0,0,0
Martin Kukla,University of Cambridge,1,0,1,5.75,0.0,0,0
Cheng Zhang,KTH,2,0,2,5.5,0.0,0,1
Milan Mosse,,1,1,0,5.75,5.75,0,0
Chengxu Zhuang,Stanford University,1,1,0,5.75,5.75,0,0
Daniel Yamins,Stanford University,1,1,0,5.75,5.75,0,0
Eyal Shnarch,"Bar Ilan University, Technion",1,0,1,5.75,0.0,1,0
Ariel Gera,"Hebrew University of Jerusalem, Technion",1,0,1,5.75,0.0,0,0
Alon Halfon,"Bar Ilan University, Technion",1,0,1,5.75,0.0,0,0
Lena Dankin,Tel Aviv University,1,0,1,5.75,0.0,0,0
Leshem Choshen,hebrew university jerusalem israel,1,0,1,5.75,0.0,0,0
Ranit Aharonov,"Hebrew University of Jerusalem, Technion",1,0,1,5.75,0.0,0,0
Noam Slonim,,1,0,1,5.75,0.0,0,1
Jonathan Shen,Google,1,0,1,5.75,0.0,1,0
Ye Jia,Google,1,0,1,5.75,0.0,0,0
Mike Chrzanowski,NVIDIA,1,0,1,5.75,0.0,0,0
Isaac Elias,,1,0,1,5.75,0.0,0,0
Demi Guo,Harvard,1,0,1,5.75,0.0,1,0
Alexander M Rush,Cornell University,2,1,1,5.625,5.5,0,1
Yoon Kim,Harvard University,2,0,2,5.675,0.0,0,1
Sepideh Mahabadi,,1,0,1,5.75,0.0,1,0
Weijian Xu,"University of California, San Diego",1,1,0,5.75,5.75,1,0
yifan xu,"University of California, San Diego",1,1,0,5.75,5.75,0,0
Huaijin Wang,"University of California, San Diego",1,1,0,5.75,5.75,0,0
Zhuowen Tu,"University of California, San Diego",1,1,0,5.75,5.75,0,1
Yann Bouteiller,Polytechnique Montreal,1,1,0,5.75,5.75,1,0
Simon Ramstedt,University of Montreal,1,1,0,5.75,5.75,0,0
Giovanni Beltrame,Polytechnique Montreal,1,1,0,5.75,5.75,0,0
Jonathan Binas,"Montreal Institute for Learning Algorithms, University of Montreal",2,1,1,5.5,5.75,0,1
Giorgi Nadiradze,Institute of Science and Technology Austria,1,0,1,5.75,0.0,1,0
Amirmojtaba Sabour,,1,0,1,5.75,0.0,0,0
Ilia Markov,,1,0,1,5.75,0.0,0,0
Shigang Li,Swiss Federal Institute of Technology,1,0,1,5.75,0.0,0,0
